" member_uri					";" name	            "
  http://dbpedia.org/resource/Marc_Rizzo  ;  Marc Rizzo   
  http://dbpedia.org/resource/Zyon_Cavalera  ;  Zyon Cavalera   
  http://dbpedia.org/resource/Christian_Wargo  ;  Christian Wargo   
  http://dbpedia.org/resource/Jason_Ringenberg  ;  Jason Ringenberg   
  http://dbpedia.org/resource/Matt_Mahaffey  ;  Matt Mahaffey   
  http://dbpedia.org/resource/Kelly_Hansen  ;  Kelly Hansen   
  http://dbpedia.org/resource/Geri_Halliwell  ;  Geri Halliwell   
  http://dbpedia.org/resource/Emma_Bunton  ;  Emma Bunton   
  http://dbpedia.org/resource/Mel_B  ;  Mel B   
  http://dbpedia.org/resource/Mel_B  ;  Melanie Brown   
  http://dbpedia.org/resource/Dorinda_Clark-Cole  ;  Dorinda Clark-Cole   
  http://dbpedia.org/resource/Dorinda_Clark-Cole  ;  Dorinda Clark   
  http://dbpedia.org/resource/Karen_Clark_Sheard  ;  Karen Clark Sheard   
  http://dbpedia.org/resource/Twinkie_Clark  ;  Twinkie Clark   
  http://dbpedia.org/resource/Twinkie_Clark  ;  Elbernita     Twinkie     Clark   
  http://dbpedia.org/resource/Daryl_Hall  ;  Daryl Hall   
  http://dbpedia.org/resource/John_Oates  ;  John Oates   
  http://dbpedia.org/resource/Dan_Auerbach  ;  Dan Auerbach   
  http://dbpedia.org/resource/Patrick_Carney  ;  Patrick Carney   
  http://dbpedia.org/resource/Johnny_Dee_(musician)  ;  Johnny Dee   
  http://dbpedia.org/resource/Larry_%22Jazz%22_Anthony  ;  Jazz   
  http://dbpedia.org/resource/Larry_%22Jazz%22_Anthony  ;  Larry \\\\Jazz\\\\ Anthony   
  http://dbpedia.org/resource/Sisqó  ;  Sisqó   
  http://dbpedia.org/resource/Alex_Paterson  ;  Alex Paterson   
  http://dbpedia.org/resource/Guy_Pratt  ;  Guy Pratt   
  http://dbpedia.org/resource/Raimund_Marasigan  ;  Raimund Marasigan   
  http://dbpedia.org/resource/Buddy_Zabala  ;  Buddy Zabala   
  http://dbpedia.org/resource/Ely_Buendia  ;  Ely Buendia   
  http://dbpedia.org/resource/Marcus_Adoro  ;  Marcus Adoro   
  http://dbpedia.org/resource/Jemaine_Clement  ;  Jemaine Clement   
  http://dbpedia.org/resource/Bret_McKenzie  ;  Bret McKenzie   
  http://dbpedia.org/resource/CEvin_Key  ;  cEvin Key   
  http://dbpedia.org/resource/Phil_Western  ;  Phil Western   
  http://dbpedia.org/resource/Alec_Baillie  ;  Alec Baillie   
  http://dbpedia.org/resource/Stza  ;  Stza   
  http://dbpedia.org/resource/Brad_Logan  ;  Brad Logan   
  http://dbpedia.org/resource/Tommi_Liimatta  ;  Tommi Liimatta   
  http://dbpedia.org/resource/Mike_Moya  ;  Mike Moya   
  http://dbpedia.org/resource/Harris_Newman  ;  Harris Newman   
  http://dbpedia.org/resource/Lars_Ljungberg  ;  Lars Ljungberg   
  http://dbpedia.org/resource/Ola_Salo  ;  Ola Salo   
  http://dbpedia.org/resource/Martin_Axén  ;  Martin Axén   
  http://dbpedia.org/resource/Al_Connelly  ;  Al Connelly   
  http://dbpedia.org/resource/Alan_Frew  ;  Alan Frew   
  http://dbpedia.org/resource/Sam_Reid_(musician)  ;  Sam Reid   
  http://dbpedia.org/resource/Jesse_Lacey  ;  Jesse Lacey   
  http://dbpedia.org/resource/Josephine_Forsman  ;  Josephine Forsman   
  http://dbpedia.org/resource/Symbolyc_One_(S1)  ;  Symbolyc One   
  http://dbpedia.org/resource/Symbolyc_One_(S1)  ;  Symbolyc One (S1)   
  http://dbpedia.org/resource/Chick_Corea  ;  Chick Corea   
  http://dbpedia.org/resource/Jean-Luc_Ponty  ;  Jean-Luc Ponty   
  http://dbpedia.org/resource/Stanley_Clarke  ;  Stanley Clarke   
  http://dbpedia.org/resource/Frank_Gambale  ;  Frank Gambale   
  http://dbpedia.org/resource/Lenny_White  ;  Lenny White   
  http://dbpedia.org/resource/Paul_Tucker_(musician)  ;  Paul Tucker   
  http://dbpedia.org/resource/Tunde_Baiyewu  ;  Tunde Baiyewu   
  http://dbpedia.org/resource/Ben_Bridwell  ;  Ben Bridwell   
  http://dbpedia.org/resource/Tyler_Ramsey  ;  Tyler Ramsey   
  http://dbpedia.org/resource/Bill_Reynolds_(producer)  ;  Bill Reynolds   
  http://dbpedia.org/resource/Glen_Phillips  ;  Glen Phillips   
  http://dbpedia.org/resource/Todd_Nichols_(musician)  ;  Todd Nichols   
  http://dbpedia.org/resource/Dean_Dinning  ;  Dean Dinning   
  http://dbpedia.org/resource/Kasim_Sulton  ;  Kasim Sulton   
  http://dbpedia.org/resource/Buck_Dharma  ;  Buck Dharma   
  http://dbpedia.org/resource/Richie_Castellano  ;  Richie Castellano   
  http://dbpedia.org/resource/Eric_Bloom  ;  Eric Bloom   
  http://dbpedia.org/resource/Jamie_Hewlett  ;  Jamie Hewlett   
  http://dbpedia.org/resource/Damon_Albarn  ;  Damon Albarn   
  http://dbpedia.org/resource/Damon_Albarn  ;  (OBE)   
  http://dbpedia.org/resource/Russel_Hobbs  ;  Russel Hobbs   
  http://dbpedia.org/resource/Noodle_(Gorillaz)  ;  Noodle   
  http://dbpedia.org/resource/2D_(character)  ;  2D   
  http://dbpedia.org/resource/2D_(character)  ;  Stuart Harold Pot   
  http://dbpedia.org/resource/Murdoc_Niccals  ;  Murdoc Niccals   
  http://dbpedia.org/resource/Jesse_Wood  ;  Jesse Wood   
  http://dbpedia.org/resource/Amir_El-Falaki  ;  Amir El-Falaki   
  http://dbpedia.org/resource/Amir_El-Falaki  ;  Emir El-Falaki   
  http://dbpedia.org/resource/Aneela_Mirza  ;  Aneela Mirza   
