"band_id","member_uri","name","current_member","member_id"
265,"  http://dbpedia.org/resource/Eds_Chesters  ","  Eds Chesters   ",True,3130
265,"  http://dbpedia.org/resource/Mark_Morriss  ","  Mark Morriss   ",True,6955
265,"  http://dbpedia.org/resource/Scott_Morriss  ","  Scott Morriss   ",True,9716
268,"  http://dbpedia.org/resource/Frank_Portman  ","  Frank Portman   ",True,3488
272,"  http://dbpedia.org/resource/Luna_(singer)  ","  Luna   ",True,6691
272,"  http://dbpedia.org/resource/Victoria_Song  ","  Sòng Qiàn   ",True,11208
272,"  http://dbpedia.org/resource/Victoria_Song  ","  Victoria Song   ",True,11208
272,"  http://dbpedia.org/resource/Victoria_Song  ","  Sung3 Sin6   ",True,11208
272,"  http://dbpedia.org/resource/Amber_Liu_(singer)  ","  Amber Liu   ",True,373
272,"  http://dbpedia.org/resource/Krystal_Jung  ","  Krystal   ",True,6276
273,"  http://dbpedia.org/resource/Matthew_Burr  ","  Matthew Burr   ",True,7200
273,"  http://dbpedia.org/resource/Grace_Potter  ","  Grace Potter   ",True,3842
274,"  http://dbpedia.org/resource/Tom_Kennedy_(musician)  ","  Tom Kennedy   ",True,10870
274,"  http://dbpedia.org/resource/Steve_Smith_(musician)  ","  Steve Elliott Smith   ",True,10327
274,"  http://dbpedia.org/resource/Steve_Smith_(musician)  ","  Steve Smith   ",True,10327
274,"  http://dbpedia.org/resource/Mike_Mainieri  ","  Mike Mainieri   ",True,7640
7459,"  http://dbpedia.org/resource/Smak  ","  Smak   ",True,10025
274,"  http://dbpedia.org/resource/Bill_Evans_(saxophonist)  ","  Bill Evans   ",True,949
274,"  http://dbpedia.org/resource/Chuck_Loeb  ","  Chuck Loeb   ",True,1939
275,"  http://dbpedia.org/resource/The_Datsuns  ","  The Datsuns   ",True,10605
275,"  http://dbpedia.org/resource/Nicke_Andersson  ","  Nicke Andersson   ",True,7992
278,"  http://dbpedia.org/resource/Leo_Nocentelli  ","  Leo Nocentelli   ",True,6468
278,"  http://dbpedia.org/resource/George_Porter_Jr.  ","  George Porter   ",True,3718
278,"  http://dbpedia.org/resource/George_Porter_Jr.  ","  George Porter Jr.   ",True,3718
278,"  http://dbpedia.org/resource/Art_Neville  ","  Art Neville   ",True,676
281,"  http://dbpedia.org/resource/Stephen_Brodsky  ","  Stephen Brodsky   ",True,10142
281,"  http://dbpedia.org/resource/Caleb_Scofield  ","  Caleb Scofield   ",True,1466
282,"  http://dbpedia.org/resource/Jamie_Arentzen  ","  Jamie Arentzen   ",True,4517
282,"  http://dbpedia.org/resource/Stacy_Jones  ","  Stacy Jones   ",True,10094
282,"  http://dbpedia.org/resource/Drew_Parsons_(musician)  ","  Drew Parsons   ",True,3042
283,"  http://dbpedia.org/resource/Bob_Nanna  ","  Bob Nanna   ",True,1149
283,"  http://dbpedia.org/resource/Chris_Broach  ","  Chris Broach   ",True,1734
283,"  http://dbpedia.org/resource/Damon_Atkinson  ","  Damon Atkinson   ",True,2186
284,"  http://dbpedia.org/resource/Jona_Weinhofen  ","  Jona Weinhofen   ",True,5593
285,"  http://dbpedia.org/resource/Minami_Takayama  ","  Minami Takayama   ",True,7733
287,"  http://dbpedia.org/resource/Joy_Williams_(singer)  ","  Joy Williams   ",True,5745
287,"  http://dbpedia.org/resource/John_Paul_White  ","  John Paul White   ",True,5484
290,"  http://dbpedia.org/resource/Chris_Hillman  ","  Chris Hillman   ",True,1789
290,"  http://dbpedia.org/resource/John_Jorgenson  ","  John Jorgenson   ",True,5361
292,"  http://dbpedia.org/resource/Rhiannon_Giddens  ","  Rhiannon Giddens   ",True,8970
299,"  http://dbpedia.org/resource/Fred_Schneider  ","  Fred Schneider   ",True,3539
302,"  http://dbpedia.org/resource/Cath_Coffey  ","  Cath Coffey   ",True,1576
303,"  http://dbpedia.org/resource/Greg_Saunier  ","  Greg Saunier   ",True,3938
304,"  http://dbpedia.org/resource/Tim_Christensen  ","  Tim Christensen   ",True,10710
305,"  http://dbpedia.org/resource/Richard_Holgarth  ","  Richard Holgarth   ",True,9010
307,"  http://dbpedia.org/resource/Machel_Montano  ","  Machel Montano   ",True,6716
312,"  http://dbpedia.org/resource/Miller_Anderson_(musician)  ","  Miller Anderson   ",True,7727
312,"  http://dbpedia.org/resource/Colin_Hodgkinson  ","  Colin Hodgkinson   ",True,2037
312,"  http://dbpedia.org/resource/Spencer_Davis  ","  Spencer Davis   ",True,10074
314,"  http://dbpedia.org/resource/Matthew_Milia  ","  Matthew Milia   ",True,7208
315,"  http://dbpedia.org/resource/Jonah_Jenkins  ","  Jonah Jay Jenkins   ",True,5561
315,"  http://dbpedia.org/resource/Jonah_Jenkins  ","  Jonah Jenkins   ",True,5561
318,"  http://dbpedia.org/resource/Jimmy_London_(rock_singer)  ","  Jimmy London   ",True,5038
323,"  http://dbpedia.org/resource/Tataee  ","  Tataee   ",True,10502
324,"  http://dbpedia.org/resource/Rami_Haikal  ","  Rami Haikal   ",True,8849
325,"  http://dbpedia.org/resource/Ronny_Moorings  ","  Ronny Moorings   ",True,9393
327,"  http://dbpedia.org/resource/Jeff_Thacher  ","  Jeff Thacher   ",True,4805
327,"  http://dbpedia.org/resource/Scott_Leonard  ","  Scott Leonard   ",True,9707
327,"  http://dbpedia.org/resource/Steven_Dorian  ","  Steven Asadoorian   ",True,10289
327,"  http://dbpedia.org/resource/Steven_Dorian  ","  Steven Dorian   ",True,10289
329,"  http://dbpedia.org/resource/Chris_Reifert  ","  Chris Reifert   ",True,1834
329,"  http://dbpedia.org/resource/Danny_Coralles  ","  Danny Coralles   ",True,2291
330,"  http://dbpedia.org/resource/Mícheál_Ó_Domhnaill  ","  Mícheál Ó Domhnaill   ",True,7491
